Year,Accommodation and Food Service Activities,"Agriculture,Forestry and Fishing","Arts,Recreation and Other Service Activities",Construction,Education,"Electricity, gas, and Water Supply; Waste Management Activities",Financial and insurance activities,Human Health and Social work Activities,Information and Communication,Manufacturing,"Professional, Scientific and Technical Activities and Administrative and Support Service Activities",Public Administration and Defence; Compulsory Social Security,Real Estate Activities,Transportation and Storage,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
2010,2.3390238063704287,1.0372267120802048,0.8724634223687975,15.148800523454009,1.6570129686191502,3.556918714650871,12.395140009930412,0.9480528845156051,3.990569559737484,11.470755616017938,6.499377656332288,7.41136223472208,6.711693040734211,7.981717261111984,17.979885589354534
2011,2.552508924480727,1.0320212427414477,0.766336161685294,14.051240392004907,1.8395105579366948,3.882398149686898,12.16953460535838,1.1671529193796668,3.761509237221932,12.470196299434223,6.314133270206391,7.284156919466425,6.752709447669594,8.704863537878811,17.251728334848604
2012,2.667996315484047,0.9998806397852363,0.8374279108270962,12.932859419148002,1.958014771534873,4.122352766537729,11.985721739059304,1.4425604144633941,3.609515258910507,12.475770018484063,6.226751784821359,7.725378037331525,7.297627702994533,8.6239353307334,17.094207889884924
2013,2.91071121116424,0.9741142221070037,0.7632782412204404,12.363854707256673,1.9476259560100522,3.9533259474625693,12.921179441025732,1.63437243106568,3.4542200381370165,11.866845423902307,6.346923718361869,8.104913512133765,6.954856470839105,8.405474160997546,17.398304518316003
2014,3.0186359590036576,0.9269964736189736,0.7642962296509469,12.124727475096957,2.005990351190403,3.971265003849034,13.590981887867487,1.631620916465906,3.5227878927242156,11.673328924014465,6.345789479051842,8.094427930747708,7.263986144229427,8.397103966775662,16.668061365713307
2015,2.9037888905000546,0.9045995967625521,0.7810533681883841,12.027271349566433,1.986013749067751,4.479312529277438,13.806012755729949,1.6098110113431603,3.508958896581095,11.220960070361357,6.320634586312816,7.998306143125504,7.532009243142912,8.450638702628787,16.470629107411774
2016,2.75776759375785,0.9091773641651162,0.8600713565466804,11.385649860262854,2.103971065222761,4.539999711714828,14.024300814843027,1.695027440150436,3.6135847737766325,11.095837373446694,6.503356461238558,8.26837613499908,8.052574764242653,7.280330084413846,16.909975201218984
2017,2.7095158741054854,0.9438121985849481,0.8737129665152034,11.08233945189677,2.1575266326285885,4.949781189142184,13.765923979116126,1.6699232625827212,3.684917569944594,11.439088393281398,6.204600773274121,8.942522024374092,7.869593576011358,7.193160228870878,16.51358187967153
2018,2.682327229599788,0.9466175076160919,0.8796216984901776,11.277550624010154,2.1853691128582793,5.10985199272689,13.44750658060403,1.7414011107805234,3.691158614390829,11.702281017753153,6.387610780150537,9.247474570731562,7.072929693030148,7.239753328849691,16.388546138408163
2019,2.647210440409243,0.9467226650777822,0.8611602020673199,11.467447758695368,2.134034091149924,5.186381037726926,13.48142043945281,1.8432268109755758,3.768826710152646,11.396340909711986,6.520508015107423,8.999216017432547,6.751252734516735,7.3010129528838466,16.695239214639873
2020,1.8398705426673596,1.1705983604763064,0.7953128438622663,11.690823320156786,2.442357571090907,5.8569138978426265,13.332129317980801,2.1845307447511053,4.285369447676315,10.930844072337852,6.462908079047846,9.964913305568896,6.401003270636407,6.2101576002912235,16.432267625613285
2021,2.670155460293213,1.1764242379090344,0.7886446340779351,11.006856679709012,2.305600911168189,6.181366588579337,12.774179632704033,2.3588335836837784,4.045805557157982,11.59073563536127,6.4157333048737915,9.308647325901397,6.311262610562824,6.209098092938359,16.856655745079852
2022,2.9920799825982183,1.0558463467814152,0.7742334498196841,10.5433656775553,2.237089615937794,5.972836543589994,13.05004400179413,2.4108921959267655,3.8211069681664918,12.176331635156457,6.246003214648721,8.491240918218784,6.329085357431747,7.539128882788601,16.360715209585877
2023,3.0188266426128947,1.0067567732119431,0.792590408274609,10.56076223005824,2.1649972285446504,5.879268103899285,12.992766233064707,2.334166397847347,3.5978538769144355,12.462845932700079,6.418342988671255,7.9311103244445,6.410655354342072,8.32863876675519,16.1004187386588
2024,3.0291192076227516,0.9966048636920857,0.7678311024146524,10.79174725732849,2.0802907337982393,5.785888316404866,13.238061164594301,2.3392076321446726,3.538955941869157,12.141014894203266,6.2654163651017125,7.864424666686701,6.632864847388084,8.402204506226003,16.12636850052501
